Date : 2020-01-13 07:35:59
Directory : /Users/mikaelderagon/git/sembly
Total : 196 files,  29983 codes, 2698 comments, 2192 blanks, all 34873 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| JSON         |         15 |     18,790 |         41 |         47 |     18,878 |
| JavaScript   |        102 |      7,861 |      1,326 |      1,315 |     10,502 |
| Java         |         19 |      1,352 |        598 |        254 |      2,204 |
| Objective-C  |         19 |      1,075 |        302 |        277 |      1,654 |
| Markdown     |          2 |        303 |          0 |        119 |        422 |
| XML          |         10 |        184 |         21 |         21 |        226 |
| Groovy       |          4 |        161 |         91 |         24 |        276 |
| C++          |         17 |         77 |        296 |         80 |        453 |
| Batch        |          1 |         76 |          0 |         25 |        101 |
| Diff         |          1 |         65 |          9 |         18 |         92 |
| Ruby         |          1 |         26 |          0 |          5 |         31 |
| Properties   |          4 |         12 |         14 |          7 |         33 |
| Shell Script |          1 |          1 |          0 |          0 |          1 |
+--------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                        | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                           |        196 |     29,983 |      2,698 |      2,192 |     34,873 |
| __tests__                                                                                                                                                   |          1 |          7 |          4 |          4 |         15 |
| android                                                                                                                                                     |         18 |        495 |        117 |         86 |        698 |
| android/app                                                                                                                                                 |         12 |        355 |         99 |         49 |        503 |
| android/app/src                                                                                                                                             |         10 |        236 |         12 |         38 |        286 |
| android/app/src/debug                                                                                                                                       |          1 |          6 |          0 |          3 |          9 |
| android/app/src/main                                                                                                                                        |          9 |        230 |         12 |         35 |        277 |
| android/app/src/main/java                                                                                                                                   |          2 |         93 |         10 |         20 |        123 |
| android/app/src/main/java/com                                                                                                                               |          2 |         93 |         10 |         20 |        123 |
| android/app/src/main/java/com/sembly                                                                                                                        |          2 |         93 |         10 |         20 |        123 |
| android/app/src/main/res                                                                                                                                    |          6 |        105 |          2 |          7 |        114 |
| android/app/src/main/res/drawable                                                                                                                           |          1 |         74 |          0 |          1 |         75 |
| android/app/src/main/res/layout                                                                                                                             |          1 |         14 |          0 |          2 |         16 |
| android/app/src/main/res/mipmap-anydpi-v26                                                                                                                  |          2 |         10 |          0 |          0 |         10 |
| android/app/src/main/res/values                                                                                                                             |          2 |          7 |          2 |          4 |         13 |
| android/gradle                                                                                                                                              |          1 |          5 |          0 |          1 |          6 |
| android/gradle/wrapper                                                                                                                                      |          1 |          5 |          0 |          1 |          6 |
| android/keystores                                                                                                                                           |          1 |          4 |          0 |          1 |          5 |
| ios                                                                                                                                                         |          9 |        437 |         34 |         61 |        532 |
| ios/sembly                                                                                                                                                  |          7 |        325 |         19 |         27 |        371 |
| ios/sembly/Base.lproj                                                                                                                                       |          1 |         37 |          0 |          1 |         38 |
| ios/sembly/Images.xcassets                                                                                                                                  |          3 |        227 |          0 |          1 |        228 |
| ios/sembly/Images.xcassets/AppIcon.appiconset                                                                                                               |          1 |        200 |          0 |          1 |        201 |
| ios/sembly/Images.xcassets/SplashScreenImage.imageset                                                                                                       |          1 |         21 |          0 |          0 |         21 |
| ios/semblyTests                                                                                                                                             |          1 |         47 |          6 |         16 |         69 |
| src                                                                                                                                                         |         72 |      6,776 |        169 |        990 |      7,935 |
| src/actions                                                                                                                                                 |          1 |        478 |         61 |         68 |        607 |
| src/components                                                                                                                                              |         29 |      2,374 |         18 |        440 |      2,832 |
| src/components/Feed                                                                                                                                         |         11 |        941 |         13 |        186 |      1,140 |
| src/containers                                                                                                                                              |         22 |      3,173 |         39 |        364 |      3,576 |
| src/containers/Main                                                                                                                                         |          6 |        911 |         15 |        111 |      1,037 |
| src/containers/Post                                                                                                                                         |          2 |        415 |          1 |         34 |        450 |
| src/containers/Profile                                                                                                                                      |          6 |        497 |          4 |         87 |        588 |
| src/containers/Welcome                                                                                                                                      |          6 |      1,068 |         12 |        104 |      1,184 |
| src/containers/Welcome/Onboarding                                                                                                                           |          2 |        400 |          1 |         45 |        446 |
| src/domain                                                                                                                                                  |         10 |        384 |         15 |         61 |        460 |
| src/helpers                                                                                                                                                 |          3 |         83 |          8 |         15 |        106 |
| src/reducers                                                                                                                                                |          1 |        139 |         18 |         18 |        175 |
| src/styles                                                                                                                                                  |          5 |        130 |         10 |         23 |        163 |
| vendor                                                                                                                                                      |         86 |      7,759 |      2,357 |      1,035 |     11,151 |
| vendor/firebase                                                                                                                                             |          7 |      4,331 |         92 |        132 |      4,555 |
| vendor/firebase/functions                                                                                                                                   |          4 |      4,311 |         92 |        130 |      4,533 |
| vendor/react-native-fbsdk                                                                                                                                   |         79 |      3,428 |      2,265 |        903 |      6,596 |
| vendor/react-native-fbsdk/android                                                                                                                           |         19 |      1,299 |        607 |        243 |      2,149 |
| vendor/react-native-fbsdk/android/src                                                                                                                       |         18 |      1,263 |        607 |        236 |      2,106 |
| vendor/react-native-fbsdk/android/src/main                                                                                                                  |         18 |      1,263 |        607 |        236 |      2,106 |
| vendor/react-native-fbsdk/android/src/main/java                                                                                                             |         17 |      1,259 |        588 |        234 |      2,081 |
| vendor/react-native-fbsdk/android/src/main/java/com                                                                                                         |         17 |      1,259 |        588 |        234 |      2,081 |
| vendor/react-native-fbsdk/android/src/main/java/com/facebook                                                                                                |         17 |      1,259 |        588 |        234 |      2,081 |
| vendor/react-native-fbsdk/android/src/main/java/com/facebook/reactnative                                                                                    |         17 |      1,259 |        588 |        234 |      2,081 |
| vendor/react-native-fbsdk/android/src/main/java/com/facebook/reactnative/androidsdk                                                                         |         17 |      1,259 |        588 |        234 |      2,081 |
| vendor/react-native-fbsdk/ios                                                                                                                               |         32 |      1,044 |        573 |        316 |      1,933 |
| vendor/react-native-fbsdk/ios/RCTFBSDK                                                                                                                      |         32 |      1,044 |        573 |        316 |      1,933 |
| vendor/react-native-fbsdk/ios/RCTFBSDK/core                                                                                                                 |         10 |        298 |        188 |         95 |        581 |
| vendor/react-native-fbsdk/ios/RCTFBSDK/login                                                                                                                |          6 |        176 |        111 |         64 |        351 |
| vendor/react-native-fbsdk/ios/RCTFBSDK/share                                                                                                                |         16 |        570 |        274 |        157 |      1,001 |
| vendor/react-native-fbsdk/js                                                                                                                                |         25 |        641 |      1,085 |        220 |      1,946 |
| vendor/react-native-fbsdk/js/models                                                                                                                         |         12 |        140 |        470 |         82 |        692 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                                                                    | language     | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| /Users/mikaelderagon/git/sembly/.gitattributes                                                                                                              | Properties   |          1 |          0 |          1 |          2 |
| /Users/mikaelderagon/git/sembly/.watchmanconfig                                                                                                             | JSON         |          1 |          0 |          0 |          1 |
| /Users/mikaelderagon/git/sembly/App.js                                                                                                                      | JavaScript   |         20 |          8 |          6 |         34 |
| /Users/mikaelderagon/git/sembly/README.md                                                                                                                   | Markdown     |          2 |          0 |          1 |          3 |
| /Users/mikaelderagon/git/sembly/__tests__/App-test.js                                                                                                       | JavaScript   |          7 |          4 |          4 |         15 |
| /Users/mikaelderagon/git/sembly/android/app/build.gradle                                                                                                    | Groovy       |         72 |         87 |         11 |        170 |
| /Users/mikaelderagon/git/sembly/android/app/google-services.json                                                                                            | JSON         |         47 |          0 |          0 |         47 |
| /Users/mikaelderagon/git/sembly/android/app/src/debug/AndroidManifest.xml                                                                                   | XML          |          6 |          0 |          3 |          9 |
| /Users/mikaelderagon/git/sembly/android/app/src/main/AndroidManifest.xml                                                                                    | XML          |         32 |          0 |          8 |         40 |
| /Users/mikaelderagon/git/sembly/android/app/src/main/java/com/sembly/MainActivity.java                                                                      | Java         |         34 |          5 |         10 |         49 |
| /Users/mikaelderagon/git/sembly/android/app/src/main/java/com/sembly/MainApplication.java                                                                   | Java         |         59 |          5 |         10 |         74 |
| /Users/mikaelderagon/git/sembly/android/app/src/main/res/drawable/ic_launcher_background.xml                                                                | XML          |         74 |          0 |          1 |         75 |
| /Users/mikaelderagon/git/sembly/android/app/src/main/res/layout/launch_screen.xml                                                                           | XML          |         14 |          0 |          2 |         16 |
| /Users/mikaelderagon/git/sembly/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml                                                                  | XML          |          5 |          0 |          0 |          5 |
| /Users/mikaelderagon/git/sembly/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml                                                            | XML          |          5 |          0 |          0 |          5 |
| /Users/mikaelderagon/git/sembly/android/app/src/main/res/values/strings.xml                                                                                 | XML          |          3 |          0 |          1 |          4 |
| /Users/mikaelderagon/git/sembly/android/app/src/main/res/values/styles.xml                                                                                  | XML          |          4 |          2 |          3 |          9 |
| /Users/mikaelderagon/git/sembly/android/build.gradle                                                                                                        | Groovy       |         27 |          4 |          4 |         35 |
| /Users/mikaelderagon/git/sembly/android/gradle.properties                                                                                                   | Properties   |          2 |         14 |          4 |         20 |
| /Users/mikaelderagon/git/sembly/android/gradle/wrapper/gradle-wrapper.properties                                                                            | Properties   |          5 |          0 |          1 |          6 |
| /Users/mikaelderagon/git/sembly/android/gradlew.bat                                                                                                         | Batch        |         76 |          0 |         25 |        101 |
| /Users/mikaelderagon/git/sembly/android/keystores/debug.keystore.properties                                                                                 | Properties   |          4 |          0 |          1 |          5 |
| /Users/mikaelderagon/git/sembly/android/settings.gradle                                                                                                     | Groovy       |         26 |          0 |          2 |         28 |
| /Users/mikaelderagon/git/sembly/app.json                                                                                                                    | JSON         |          4 |          0 |          0 |          4 |
| /Users/mikaelderagon/git/sembly/babel.config.js                                                                                                             | JavaScript   |          3 |          0 |          1 |          4 |
| /Users/mikaelderagon/git/sembly/index.js                                                                                                                    | JavaScript   |          4 |          3 |          3 |         10 |
| /Users/mikaelderagon/git/sembly/ios/RCTFBSDKLoginButtonManager.m.patch                                                                                      | Diff         |         65 |          9 |         18 |         92 |
| /Users/mikaelderagon/git/sembly/ios/sembly/AppDelegate.h                                                                                                    | C++          |          5 |          6 |          5 |         16 |
| /Users/mikaelderagon/git/sembly/ios/sembly/AppDelegate.m                                                                                                    | Objective-C  |         49 |          7 |         16 |         72 |
| /Users/mikaelderagon/git/sembly/ios/sembly/Base.lproj/LaunchScreen.xib                                                                                      | XML          |         37 |          0 |          1 |         38 |
| /Users/mikaelderagon/git/sembly/ios/sembly/Images.xcassets/AppIcon.appiconset/Contents.json                                                                 | JSON         |        200 |          0 |          1 |        201 |
| /Users/mikaelderagon/git/sembly/ios/sembly/Images.xcassets/Contents.json                                                                                    | JSON         |          6 |          0 |          0 |          6 |
| /Users/mikaelderagon/git/sembly/ios/sembly/Images.xcassets/SplashScreenImage.imageset/Contents.json                                                         | JSON         |         21 |          0 |          0 |         21 |
| /Users/mikaelderagon/git/sembly/ios/sembly/main.m                                                                                                           | Objective-C  |          7 |          6 |          4 |         17 |
| /Users/mikaelderagon/git/sembly/ios/semblyTests/semblyTests.m                                                                                               | Objective-C  |         47 |          6 |         16 |         69 |
| /Users/mikaelderagon/git/sembly/metro.config.js                                                                                                             | JavaScript   |         11 |          6 |          2 |         19 |
| /Users/mikaelderagon/git/sembly/package-lock.json                                                                                                           | JSON         |     14,391 |          0 |          1 |     14,392 |
| /Users/mikaelderagon/git/sembly/package.json                                                                                                                | JSON         |         72 |          0 |          1 |         73 |
| /Users/mikaelderagon/git/sembly/src/.eslintrc.js                                                                                                            | JavaScript   |         15 |          0 |          1 |         16 |
| /Users/mikaelderagon/git/sembly/src/actions/index.js                                                                                                        | JavaScript   |        478 |         61 |         68 |        607 |
| /Users/mikaelderagon/git/sembly/src/components/Feed/FeedCategoryBar.js                                                                                      | JavaScript   |         91 |          0 |         18 |        109 |
| /Users/mikaelderagon/git/sembly/src/components/Feed/FeedCategoryButton.js                                                                                   | JavaScript   |         83 |          0 |         16 |         99 |
| /Users/mikaelderagon/git/sembly/src/components/Feed/FeedEvent.js                                                                                            | JavaScript   |        125 |          2 |         18 |        145 |
| /Users/mikaelderagon/git/sembly/src/components/Feed/FeedFilterBar.js                                                                                        | JavaScript   |         69 |          4 |         19 |         92 |
| /Users/mikaelderagon/git/sembly/src/components/Feed/FeedFilterButton.js                                                                                     | JavaScript   |         51 |          0 |         18 |         69 |
| /Users/mikaelderagon/git/sembly/src/components/Feed/FeedHeader.js                                                                                           | JavaScript   |         50 |          0 |         11 |         61 |
| /Users/mikaelderagon/git/sembly/src/components/Feed/FeedHorizontalScroll.js                                                                                 | JavaScript   |         50 |          0 |         17 |         67 |
| /Users/mikaelderagon/git/sembly/src/components/Feed/FeedScrollPost.js                                                                                       | JavaScript   |         94 |          6 |         17 |        117 |
| /Users/mikaelderagon/git/sembly/src/components/Feed/FeedSeparator.js                                                                                        | JavaScript   |         40 |          0 |         16 |         56 |
| /Users/mikaelderagon/git/sembly/src/components/Feed/FeedSubHeader.js                                                                                        | JavaScript   |         45 |          0 |         16 |         61 |
| /Users/mikaelderagon/git/sembly/src/components/Feed/FeedUserPost.js                                                                                         | JavaScript   |        243 |          1 |         20 |        264 |
